Date,SNR,BER,PER
14.09.2015-11-22-29,15.38,0.00007373,0.00040000
14.09.2015-11-25-51,15.44,0.00004773,0.00070000
14.09.2015-11-29-12,15.48,0.00012962,0.00050000
14.09.2015-11-32-33,15.49,0.00008980,0.00020000
14.09.2015-11-35-55,15.50,0.00002895,0.00050000
14.09.2015-11-39-16,15.51,0.00023342,0.00070000
14.09.2015-11-42-37,15.52,0.00016192,0.00070000
14.09.2015-11-45-59,15.53,0.00000012,0.00040000
14.09.2015-11-49-20,15.54,0.00001155,0.00030000
14.09.2015-11-52-41,15.54,0.00001767,0.00030000
14.09.2015-11-56-03,15.55,0.00002008,0.00020000
14.09.2015-11-59-24,15.55,0.00003535,0.00060000
